r_tipo,nombre,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,colesterol,sodio
15,Cacahuate,14,pieza,12,12,73,2.9,6.2,2.7,0,100.6
15,Cacahuate acaramelado,5,cucharadita,14,14,75,3,6.5,2.5,0,57.8
15,Cacahucate cocido,20,g,20,20,64,2.7,4.4,4.3,0,150
15,Cacahuate con cáscara,12,g,12,12,70,2.8,6,0.2,0,0.6
15,Cacahuate con pepitas,12,g,12,12,75,2.8,6,2.4,0,144
15,Cacahuate con piel,15,pieza,14,14,72,3.4,6.3,2.9,0,50.6
15,Cacahuate enchilado,13,pieza,12,12,67,2.9,5.9,2.1,0,79.4
15,Cacahuate japonés,15,pieza,14,14,68,2.7,3.6,6.3,0,270
15,Cacahuate picado,5,cucharadita,12,12,74,3,6.2,2.7,0,101.9
15,Cacahuate salado,13,pieza,12,12,71,3.2,5.5,2.4,0,34
15,Cacahuate tostado,13,pieza,12,12,69,2.8,5.9,2.5,0,96.1
15,Cacahuates confitados,0.25,bolsa,14,14,72,1.4,4.3,7.1,0.7,36.7
15,"Cacahuates cubiertos con salsa y
limón",2,cucharada,13,13,72,2.6,4.6,5.3,0,124.7
15,Cacoa con cáscara,14,g,14,14,70,1.9,5.9,3.3,0,0.5
15,Cacoa pataste,12,g,12,12,72,2.1,6.5,2.6,0,0.5
15,Cacao sin cascara,12,g,12,12,67,1.9,5.9,2.5,0,0.5
15,Chía,7,cucharada,49,49,69,3.5,5.9,1.9,0,12.3
15,Chilorio,30,g,30,30,64,5,4.7,0.7,17.1,203.1
