r_tipo,nombre,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,colesterol,vitaminaa,calcio,hierro,sodio,selenio
8,"Queso monterrey bajo en
grasa",1,rebanada,28,28,88,7.9,6,0.2,18,40,197,0.2,158,0
8,"Queso Mozzarella reducido
en grasa",1,rebanada,28,28,71,6.8,4.5,0.8,17.9,35.6,219,0.1,173.3,0
8,"Queso Mozzarella
semidescremado",30,g,30,30,76,7.3,4.8,0.8,19.2,37.2,234.6,0.1,185.7,4.3
8,"Queso Muenster bajo en
grasa",1,rebanada,28,28,77,6.9,4.9,14.1,18,49,148,0.1,168,0
8,Queso parmensano,3.5,cucharada,18,18,75,6.7,5,0.9,15.4,20.5,194.1,0.2,267.6,3
8,Queso parmensano duro,20,g,20,20,78,7.2,5.2,0.6,13.6,21.2,236.8,0.2,320.4,4.5
8,Queso parmensano en trozo,20,g,20,20,78,7.2,5.2,0.6,13.6,21.2,236.8,0.2,320.4,4.5
8,Queso parmensano rallado,3.5,cucharada,18,18,75,6.7,5,0.9,15.4,20.5,194.1,0.2,267.6,3
8,"Queso ricotta
semidescremado",55,g,55,55,76,6.3,4.3,2.8,16.9,57.8,149.5,0.2,68.8,9.2
8,"Queso tipo americano lala
light",30,g,30,30,63,5,3.8,1.7,,,,,480,
8,Requesón promedio,3.5,cucharada,42,42,76,6.3,5,1.3,10.5,,38.6,0.2,163.8,
8,Salami de pavo,6,rebanada,42,42,72,8.1,3.9,0.7,31.9,0.8,16.8,0.5,421.7,11.1
8,Salchica de pavo,1,pieza,61,61,120,14.6,6.4,1,56.4,6.7,13.5,0.9,407.3,0
8,Salchicha vegetariana,1,pieza,25,25,64,4.6,4.5,2.5,,,15.8,0.9,222,1.9
8,Salmón de aceite,35,g,35,35,71,7.6,4.9,0,28,6.3,27.7,0.3,165.6,16.1
8,Sardina en aceite,3,pieza,36,36,75,8.9,4.1,0,51.1,11.5,137.5,1.1,181.8,19
8,Sardina en tomate,1,pieza,38,38,71,7.9,4,0.3,23.2,12.2,91.2,0.9,157.3,15.4
8,Sesos de cerdo cocidos,50,g,50,50,69,6.1,4.8,0,1276,0,4.5,0.9,45.5,9.3
8,Sesos de cordero cocidos,50,g,50,50,73,6.3,5.1,0,1021.5,0,6,0.8,67,6
8,Sesos de ternera cocidos,50,g,50,50,68,5.7,4.8,0,1550,0,8,0.8,78,5.5
8,Sierra,50,g,50,38,78,7.3,5.2,0,30,50.6,1.9,0.4,0,5.3
8,Sierra fileteada,35,g,35,35,73,6.8,4.9,0,28,47.3,1.8,0.4,0,4.9
8,Sierra picada,35,g,35,35,73,6.8,4.9,0,28,47.3,1.8,0.4,0,4.9
8,Suarero crudo,29,g,29,29,76,7.8,4.8,0,20.9,0,1.7,1,20.3,0
8,"Sustituto de queso
mozzarella",1,rebanada,28,28,69,3.2,3.4,6.6,,122,171,0.1,192,0
