r_tipo,nombre,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,colesterol,vitaminaa,calcio,hierro,sodio,selenio
7,Pescado blanco,75,g,75,39,52,7.4,2.3,0,23.4,14.2,10.1,0.1,19.7,5.5
7,Pescado blanco cocido,30,g,30,30,52,7.3,2.3,0,22.9,11.6,9.9,0.1,19.4,4.2
7,Pescado blanco fileteado,35,g,35,35,47,6.7,2.1,0,21,12.6,9.1,0.1,17.9,4.4
7,Pescuezo de res,50,g,50,33,50,6.7,2.4,0,19.8,37.7,1.6,0.6,25.4,6.1
7,Pierna de carnero,50,g,50,40,54,7.6,2.4,0,26,0,2.8,0.9,30,15.2
7,Pierna de cerdo,40,g,40,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,11.4
7,Pierna de cordero,30,g,30,26,49,7.2,2,0,22.7,0,2,0.5,17.3,2.7
7,Pierna de cerdo,40,g,40,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,11.4
7,Pulpa de cerdo,40,g,40,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,11.4
7,Pulpa de ternera,40,g,40,38,59,7.5,3,0,34.2,0,4.2,1.1,34.2,5.9
7,Retazo de carnero,500,g,500,50,56,7.1,2.8,0,32.5,0,8.5,1.1,37.5,19
7,Rib eye sin grasa,25,g,25,25,56,7,2.9,0,20,0,3.3,0.6,17.3,4.3
7,Salmón,30,g,30,30,55,6,3.2,0,17.6,4.6,3.5,0.1,17.6,11
7,Salmón cocido,30,g,30,30,55,6,3.2,0,17.6,4.6,3.5,0.1,17.6,17.2
7,Salmón fresco,30,g,30,30,55,6,3.2,0,17.6,4.6,3.5,0.1,17.6,13.8
7,Short loin,25,g,25,25,54,7.2,2.6,0,19,0,2,0.6,17,5.8
7,Sierra ahumada,30,g,30,30,51,7.3,2.2,0,20.5,25.8,25.8,0.1,12.7,4.2
7,Sirloin,25,g,25,25,51,7.6,2,0,22.3,0,2.8,0.8,16.5,4.6
7,T-bone sin grasa,30,g,30,24,49,6.4,2.4,0,14.2,0,1.4,0.8,17,5.3
7,Ternera,35,g,35,35,55,6.9,2.8,0,31.5,0,3.9,1.1,31.5,5.5
7,Ternera en canal,40,g,40,38,59,7.5,3,0,34.2,0,4.2,1.1,34.2,5.9
7,Trucha,70,g,70,32,54,5.9,3.2,0,15.5,0,3.9,0.3,22.5,4.1
7,Trucha ahumada,30,g,30,30,51,7.3,2.2,0,20.5,25.8,25.8,0.1,12.7,4.5
7,Trucha cocida,30,g,30,30,51,7.3,2.2,0,20.5,25.8,25.8,0.1,12.7,4.5
7,Trucha fileteada,35,g,35,35,59,6.4,3.5,0,16.8,0,4.2,0.4,24.5,4.4
7,Anchoa con aceite,6,pieza,24,24,50,7,2.6,0,20.4,2.9,55.7,1.1,880.3,16.3
7,Atún en aceite drenado,0.3,lata,33,33,66,9.7,2.7,0,10.3,7.7,4.3,0.5,118,25.3
7,Chuleta de cerdo,0.5,pieza,45,38,54,7.6,2.4,0,24.9,0.4,2.3,0.5,31.4,12.2
7,"Muslo de pollo crudo sin
piel",0.5,pieza,60,45,54,8.8,1.8,0,37.4,9,4.5,0.5,38.7,6.1
7,Pescuezo de pollo sin piel,125,pieza,125,38,58,6.6,3.3,0,31.1,16.5,10.1,0.8,30.4,4.5
7,"Pierna de pollo cin piel
cocida",0.25,pieza,45,26,47,6.7,2.1,0,,,,,,6.8
7,"Pierna de pollo cin piel
cruda",0.3,pieza,76,43,52,8.7,1.6,0,34.6,7.8,4.8,0.4,37.2,5.8
7,Calamar frito,35,g,35,35,61,6.3,2.6,2.7,91,3.7,13.6,0.4,107.1,15.7
7,Corazón de borrego,45,g,45,45,55,7.4,2.5,0.2,60,0,0,0,39.5,21.2
7,Corazón de borrego cocido,30,g,30,30,55,7.4,2.4,0.6,74.2,0,0,0,18.7,14.1
7,Corazón de cordero,45,g,45,45,55,7.4,2.5,0.2,60,0,0,0,39.5,14.4
7,Corazón de cordero cocido,30,g,30,30,55,7.4,2.4,0.6,74.2,0,0,0,18.7,14.1
7,Corazón de pavo,40,g,40,40,58,7.3,2.8,0.3,46.3,0,0,0,35.1,2
7,Hígado de ganzo crudo,40,g,40,40,53,6.5,1.7,2.5,206,3723.6,17.2,12.2,56,27.2
7,Hígado de borrego crudo,25,g,25,25,55,7.6,2.2,0.6,125.3,1872.8,2,2.1,14,27.9
7,Hígado de cerdo cocido,30,g,30,30,50,7.8,1.3,1.1,106.5,1621.5,3,5.4,14.7,20.3
7,Hígado de ganzo,0.5,pieza,47,47,63,7.7,2,3,242.1,4375.2,20.2,14.3,65.8,32
7,Hígado de pato crudo,40,g,40,40,54,7.5,1.8,1.4,206,4793.6,4.4,12.2,56,26.8
7,Hígado de pavo,4,cucharada,35,35,59,8.4,2.1,1.2,219.1,4403.4,3.9,2.7,22.4,35.2
7,Hígado de pollo cocido,30,g,30,30,50,7.3,2,0.3,168.9,1194.3,3.3,3.5,22.8,24.7
7,Hígado de pollo crudo,40,g,40,40,48,7.2,1.6,1.4,120,1452,4.4,3.4,31.6,25.6
7,Hígado de res cocido,30,g,30,30,48,7.3,1.5,1,116.7,3180.6,2.1,2,21,17.1
7,Hígado de res frito,25,g,25,25,54,6.7,2,2,120.5,2682.3,2.8,1.6,26.5,14.3
7,Hueva de pescado cocida,25,g,25,25,51,7.2,2.1,0.5,119.8,22.8,7,0.2,29.3,12.9
7,"Huevo congelado sin
colesterol",4,cucharada,60,60,96,6.8,6.7,1.9,1,81,44,1.2,120,2
7,Huevo de tortuga,50,g,50,45,51,5.6,2.8,0.4,0,28.9,27.6,0.7,0,0
7,Jamón bajo en grasa,2,rebanada,42,42,56,8.1,2.1,0.5,19.5,0,3,0.3,600,7.3
7,Jamón de pavo,2,rebanada,42,42,54,8,2.1,0.1,23.6,0,4.4,1.2,418.5,7.3
7,Jamón de pierna,2,rebanada,42,42,56,8.1,2.1,0.5,19.5,0,3,0.3,600,12.3
7,Ostión cocido,35,g,35,35,57,6.6,1.6,3.5,35,51.1,5.8,3.2,74.1,53.9
7,Ostión crudo,75,g,75,75,61,7.1,1.7,3.7,37.5,60.9,6.2,3.8,79.4,57.8
7,Ostión cultivado,9,pieza,126,126,75,6.6,2,6.9,31.5,10.5,55.5,7.3,225,80.3
7,Ostión cultivado cocido,9,pieza,88,88,70,6.1,1.9,6.4,32.9,16.4,49.3,6.8,143.5,68.4
7,Ostión en jugo,70,g,70,70,57,6.6,1.6,3.5,35,56.8,5.8,3.6,74.1,53.9
7,Ostión enlatado,100,g,100,100,69,7.1,2.5,3.9,55.3,90.6,44.7,6.7,111.8,77.5
7,Pasta de anchoas,4,cucharada,28,28,56,5.6,3.2,1.2,0,0,0,0,0,0
7,Pasta de camarón,30,g,30,30,54,6.2,2.8,0.5,0,0,0,0.1,0,0
7,Pasta de langosta,4,cucharada,28,28,52,6,2.8,0.4,0,0,20,0.4,0,0
7,Pastrami de pavo,2,rebanada,42,42,59,7.7,2.6,0.7,22.8,0,3.7,0.7,439.2,6.8
7,"Queso cheddar bajo en
grasa",30,g,30,30,53,7.4,2.1,0.5,6.4,19.3,126.4,0.1,186.4,4.4
7,Queso cotage cremoso,3,cucharada,54,54,56,6.8,2.5,1.5,7.7,25.1,32.8,0.1,217.9,4.9
7,Queso de soya,2,rebanada,56,56,84,7,4.6,3.8,0,2,106,0,12,0
7,Queso fresco,40,g,40,40,58,6.1,2.8,2,0,28,273.6,0.1,0,3.6
7,Queso fresco de cabra,30,g,30,30,52,7.1,1.5,2.6,7.8,12,260.1,1.7,,2.7
7,Queso fresco de vaca,40,g,40,40,58,6.1,2.8,2,0,28,273.6,0.1,0,3.6
7,Queso Oaxaca Lala Light,30,g,30,30,64,7.8,3.3,0.8,,,230,,190,
7,Queso panela,40,g,40,40,58,6.1,2.8,2,0,28,273.6,0.1,0,4.8
7,Queso panela Lala Light,30,g,30,30,52,5.7,2.7,1.2,,,200,,180,
7,"Queso ricotta reducido en
grasa",3,cucharada,45,45,62,5.1,3.6,2.3,13.8,48.3,122.3,0,56.3,0
7,"Sustituto de huevo en
polvo",3,cucharada,15,15,67,8.3,2,3.3,85.8,55.4,48.9,0.5,120,19.2
7,Sustituto de huevo liquido,4,cucharada,60,60,51,7.1,2,0.4,0,130.2,31.9,1.3,106,24.8
7,Tofu. firme,40,g,40,40,58,6.3,3.5,1.7,,,,,,
