r_tipo,nombre,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,fibra,acido_folico,calcio,hierro,indice_glicemico,carga_glicemica,azucar,sodio
3,Maíz cacahuacintle,20,g,20,18,67,2.2,0.9,13,2.2,0,1.5,0.4,,,,0.2
3,Maíz cacahuacintle,20,g,20,18,67,2.2,0.9,13,2.2,0,1.5,0.4,,,,0.2
3,Maíz palomero,20,g,20,20,73,2.4,0.9,14.2,2.4,0,3.4,0.4,,,,0.2
3,Maíz pozolero,0.3,taza,54,54,58,1.8,0.7,13.6,1.5,0,1.1,0.3,,,,9.2
3,Maizena,2,cucharada,16,16,60,0,0,14.4,0,0,0,0,,,,0
3,Masa de maíz,45,g,45,45,69,1.6,0.9,14.3,1.5,0,31.5,0.7,,,,0
3,Masa de maíz amarillo,35,g,35,35,66,1.5,0.8,13.5,1.2,0,30.8,0.6,,,,0
3,Masa de maíz blanco,45,g,45,45,69,1.6,0.9,14.3,1.5,0,31.5,0.7,,,,0
3,Masa pasa tortillas,45,g,45,45,69,1.6,0.9,14.3,1.5,0,31.5,0.7,,,,0
3,Masa Yucatán,40,g,40,40,69,1.8,0.5,14.6,1.4,0,36,0.8,,,,0
3,Mijo crudo,15,g,15,15,57,1.7,0.6,10.9,1.3,0,1.2,0.5,,,,0.8
3,Nixtamal,45,g,45,45,69,1.6,0.9,14.3,1.5,0,31.5,0.7,,,,0
3,Palomitas fat free,2.5,taza,18,18,70,3.5,0,14,3.5,0,0,0,,,,140
3,Palomitas naturales,2.5,taza,18,18,70,3.5,0,14,3.5,0,0,0,,,,140
3,Palomitas sin grasa,2.5,taza,18,18,70,3.5,0,14,3.5,0,0,0,,,,140
3,Pan 5 granos,1,rebanada,25,25,62,2.4,2.1,9.6,1.6,0,0,0,,,,83
3,Pan bagel integral,0.3,pieza,23,23,60,2.5,0.3,12.5,0.8,0,0,0,,,,118.8
3,Pan birote,0.3,pieza,22,22,67,2.1,0,14.1,0.1,0,9.1,0.3,,,,123.3
3,Pan de 5 granos,1,rebanada,25,25,62,2.4,2.1,9.6,1.6,0,0,0,,,,83
3,Pan de miel y avena,1,rebanada,28,28,71,3,1.1,12.7,0.9,0,19,1,,,,140
3,Pan de plátano,0.75,rebanada,21,21,68,0.9,2.2,11.5,0.2,0,4.4,0.3,,,,63.4
3,Pan de trigo con arroz,0.75,rebanada,21,21,59,1.4,1.5,10.2,0,0,14.7,0.4,,,,85.5
3,Pan molido,8,cucharadita,16,16,66,2.1,1,11.8,0.3,0,6.2,0.2,,,,95.8
3,Papa de agua,1,pieza,95,78,71,2.6,0.2,15.5,0.4,0,14.8,1.6,,,,0
3,Papilla de avena deshidratada,15,g,15,15,56,1,0.2,12,0.1,0,128.7,7.5,,,,41
3,Pasta con huevo,0.3,taza,15,15,57,1.9,0.6,11,0,0,5.2,0.4,,,,0.7
3,Pasta integral cruda,20,g,20,20,65,2.7,0.1,14.5,0.4,0,10.4,0.5,,,,1.6
3,Pasta tornillo,0.3,taza,15,15,57,1.9,0.6,11,0,0,5.2,0.4,,,,0.7
3,Peneques,2,pieza,26,26,58,1.5,0.4,12.3,1.2,0,28.1,0.7,,,,0
3,Pinole,15,g,15,15,58,1.6,0.9,11.3,0,0,11.9,1.2,,,,0
3,Puré de camote con naranja,0.25,taza,50,50,77,0.2,0,19,0,0,4.2,0.1,,,,5.2
3,Quinoa,20,g,20,20,74,2.8,1.2,12.8,1.4,0,9.4,0.9,,,,0.9
3,Raíz de chayote,100,g,100,80,63,1.6,0.2,14.2,0.3,0,5.6,0.6,,,,0
3,Sagú,55,g,55,44,70,1.1,0,16.3,0.8,0,8.8,1.4,,,,0
3,Sorgo,1.5,cucharada,18,18,61,2,0.6,13.4,0,0,5.1,0.8,,,,1.1
3,Tallarin cocido,0.3,taza,16,16,60,2,0.3,12.1,0.1,0,10.2,0.5,,,,0
3,Tortilla de maíz amarillo,1,pieza,32,32,68,1.5,0.6,14.5,0.7,0,62.7,0.8,,,,0
3,Tortilla de maíz azul o negro,1,pieza,32,32,70,1.6,0.9,14.1,0.3,0,40,0.8,,,,0.2
3,Tortilla de maíz y soya,1,pieza,33,33,75,2.2,1.4,13.8,0.7,0,42.2,1.6,,,,0
3,Tortilla de maíz y trigo,1,pieza,32,32,73,3.2,0.5,14.9,1.4,0,32.6,0.7,,,,0
3,Tortilla de nopal,3,pieza,69,69,60,3.2,1.2,13.1,9,0,135.2,1.8,,,,0
3,Tostada de maíz horneada,2,pieza,20,20,73,2,1.3,16,2,0,0,0,,,,0
3,Tpstada de nopal horneada,2,pieza,20,20,67,1.3,1.3,15.3,2.7,0,0,0,,,,0
3,Trigo,1.5,cucharada,21,21,71,2.2,0.5,15.4,0.7,0,12.2,0.2,,,,0.6
3,Trigo cocido,1.5,cucharada,21,21,70,2.2,0.5,15.1,0.7,0,12,0.2,,,,0.6
3,Trigo entero,2,cucharada,19,19,63,2,0.5,13.8,0.6,0,10.9,0.2,,,,0.6
3,Trigo negro,20,g,20,20,69,2.3,0.5,13.8,2.1,0,63.8,0,,,,64
3,trigo triturado,1.5,cucharada,20,20,66,2.1,0.5,14.3,0.6,0,11.3,0.2,,,,0.6
3,Yuca,0.25,pieza,88,60,72,0.6,0.4,16.8,0.7,0,30.9,1.4,,,,4.8
3,Yuquilla,150,g,150,129,68,5.3,0,12.4,1.5,0,65.8,15.7,,,,0
3,Amaranto cocido,2.5,taza,330,330,70,7,0.5,13.5,0,185,690,7.5,,,,70
3,Arroz crudo,20,g,20,20,72,1.3,0.1,15.9,,1.8,1.8,0.2,,,,0.2
3,Arroz inflado natural,0.5,taza,17,17,65,1.1,0.1,14.6,0.5,58.2,3,1,,,,126.2
3,Arroz integral crudo,20,g,20,20,72,0.5,0.5,15.2,0.7,4,6.6,0.4,,,,0.8
3,Arroz pulido crudo,20,g,20,20,72,1.3,0.1,15.9,,1.8,1.8,0.2,,,,0.2
3,Avena integral,0.3,taza,26,26,65,4.6,1.9,17.5,4.1,13.6,15.3,1.4,,,,0.9
3,Bagel de ajo,0.3,pieza,24,24,67,2.5,0.4,12.9,0.6,5.5,18.1,0.9,,,,129.4
3,Bagel de ajonjolí,0.3,pieza,24,24,74,2.7,0.7,12.9,0.6,5.3,0,0,,,,145.6
3,Bagel de avena,0.3,pieza,24,24,60,2.5,0.3,12.6,0.9,11,3,0.7,,,,120
3,Bagel de canela y pasas,0.3,pieza,24,24,65,2.3,0.4,13.1,0.5,5,4.3,0.9,,,,76.3
3,Bagel de cebolla,0.3,pieza,24,24,74,2.7,0.7,12.9,0.6,11,0,0,,,,145.6
3,Bagel integral,0.3,pieza,24,24,60,2.5,0.3,12.6,0.9,5.3,0,0,,,,120
3,Barra Special K varios sabores,1,pieza,24,24,90,2,1,19,,,,,,,,104.9
3,Codito crudo,20,g,20,20,74,2.5,0.2,15,0.1,5,5.4,0.3,,,,0.4
3,Crepa,2,pieza,30,30,69,1.6,1,13.1,0.5,0.2,0.3,0.3,,,,147.5
3,Crepas para rellenar,2,pieza,30,30,69,2.3,1.4,11.6,0.3,0.2,0.3,0.3,,,,116.4
3,Crepas saladas,2,pieza,30,30,69,1.6,1,13.1,0.5,0.2,0.3,0.3,,,,147.5
3,Croutones,0.5,taza,15,15,61,1.8,1,11.1,0.8,3.5,11.5,0.6,,,,104.5
3,Elote amarillo crudo,1.3,pieza,186,71,61,2.3,0.9,17.7,2,32.7,1.7,0.4,,,,12.1
3,Camote al honor,0.3,taza,70,70,70,1.2,0.1,16.4,1.3,15.9,24.7,0.4,,,,5.6
3,Camote amarillo,0.3,taza,69,54,68,0.8,0.4,15.3,1.6,7.6,23.2,1.3,,,,5.4
