r_tipo,nombre,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,colesterol,vitaminaa,calcio,sodio,azucar
13,Yoghur bebible sabor durazno,2,pieza,330,330,224,7.9,2.3,40.9,,,290.4,99.5,40.6
13,Yoghur bebible sabor fresa,2,pieza,330,330,224,7.9,2.3,40.9,,,290.4,0.1,40.6
13,Yoghur bebible sabor piña colada,2,pieza,330,330,224,7.9,2.3,40.9,,,290.4,99.5,40.6
13,Yoghur de café,0.75,taza,180,180,180,8.5,2.1,32.8,10.6,,211.8,95.3,29.6
13,Yoghur de fruta,0.75,taza,180,180,201,8.5,3.2,33.9,15.9,,211.8,105.9,31.8
13,Yoghur de vainilla,0.75,taza,180,180,201,8.5,3.2,33.9,15.9,,211.8,100.6,30.7
13,Yoghur Lala batido,1.5,pieza,188,188,182,6.2,4.4,30,,,196.9,159.4,
13,Yoghur Lala bebible frutas,1,pieza,250,250,195,5.5,4,20,,,,0,
13,Yoghur Lala Vive con fibra,1.5,vasito,255,255,210,8.9,6.3,33.2,,,254.3,121.5,
13,Yoghur Lala Vive deslactosada,1,pieza,250,250,195,5.5,4,34.5,,,192.5,95,
13,"Yoghur Lala Vive sin colesterol con
Menoscol",1,pieza,250,250,185,6.8,1,37.3,,,225,75,
13,Yoghur para beber sabor fresa,1.25,pieza,313,313,216,5.9,5,37.5,,,221.9,81.3,
13,Yoghur de soya,1,taza,180,180,169,6.3,3.2,28.7,,,,462.6,
