r_tipo,alimentos,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,fibra,acido_folico,calcio,hierro,sodio,azucar,iice_glicemico,carga_glicemica
4,pan tipo muffin de maíz,0.3,pieza,37,37,144,2.2,3.1,19,1.2,12.4,27.5,1,194.3,2.8,49,18.3
4,Pan tipo muffin integral,0.3,pieza,37,37,101,2.6,2.8,18,1.7,51.8,23.5,1.6,146.5,3.1,60,22.4
4,Panqué,0.5,rebanada,20,20,84,1.3,4.3,9.8,0.2,0,10.4,0.3,71.4,5.7,,
4,Panqué de salvado,1,rebanada,40,40,118,1.6,5.6,13.6,1.2,0,19.2,0.6,79.2,3.2,,
4,Papa hash brown,0.25,taza,39,39,100,1.2,4.9,13.7,1.2,6.2,5.5,0.2,133.4,0.6,,
4,Papas fritas,6,pieza,18,18,100,1.1,6.9,9.2,0.6,1.3,4.3,0.3,118.1,0.9,76,13.7
4,Papas fritas a la francesa,4,pieza,20,20,112,1.2,7.7,10.2,0.7,1.4,4.8,0.3,13.2,1,,
4,Papas fritas bajas en grasa,7,pieza,21,21,105,1.2,5.4,13.6,0.8,5.7,7.1,0.3,89.9,1.1,,
4,papas fritas con queso,6,pieza,18,18,99,1.3,6.7,9.1,0.6,3.2,19.8,0.3,135.9,0.9,,
4,"Papas fritas reducidas en
grasa",0.75,"bolsa
iividual",20,20,94,1.1,4.8,12.2,0.7,5.1,6.4,0.3,80.3,0.9,,
4,harina de cacahuate,4,cucharada,32,32,105,16.7,0.2,11.1,5.1,0,0,0,13.2,2.6,,
4,"Harina de soya baja en
grasa",4,cucharada,32,32,120,14.5,2.8,11.2,5.1,0,0,0,1,3.4,,
4,Harina de soya desgrasada,4,cucharada,32,32,106,15,0.4,12.3,5.6,0,0,0,4.2,6,,
4,Harina de soya fill fat,3,cucharada,24,24,105,8.3,4.9,8.5,2.3,0,0,0,2.2,1.8,,
4,Muffin de blueberry,0.25,pieza,28,28,107,1.3,4.5,15,0.3,20.6,13,0.4,95.8,9.3,59,16.7
4,Muffin de maíz,0.3,pieza,37,37,114,2.2,3.1,19,1.2,12.4,27.5,1,194.3,2.8,49,18.3
4,Muffin integral,0.3,pieza,37,37,11,2.6,2.8,18,1.7,51.8,23.5,1.6,146.5,3.1,60,22.4
4,Palomitas garapiñadas,0.75,taza,21,21,91,0.8,2.7,16.6,1.1,1.1,0.9,0.4,43.3,11.2,,
4,Pan de ajo,1,pieza,28,28,93,2,3.9,12.3,1,0,49.1,0.9,142.5,2.5,,
4,Pan de ajo con queso,1,pieza,28,28,98,2.5,4.9,11.3,1,0,98.2,0.7,211.2,1,,
4,Pastel de frutas,1,rebanada,28,28,91,0.8,2.5,17.3,1,0.7,9.1,0.6,75.5,12,47,13.2
4,"Pastel de zanahoria con
cubierta de queso crema",0.5,rebanada,28,28,112,1.1,5.7,14.6,0.3,3.2,6.9,0.3,50.6,10.8,,
4,"Pastelito con relleno
cremoso y mermelada",0.5,pieza,25,25,98,1.1,3.9,14.8,0.7,0,18.8,0.6,59.5,10.5,,
4,"Pastelito de chocolate con
relleno cremoso",1,pieza,30,30,109,1.3,3.2,18.7,0.6,0,0,0,93.9,13.2,,
4,Pastitas de mantequilla,2,pieza,15,15,84,0.8,4.7,9.6,0,0,3,0.3,30,3,,
4,Pay de calabaza,1,rebanada,45,45,109,1.8,4.4,15.7,0.8,7.2,28.8,0.4,107.6,8.5,,
4,"Pay de limón con
merengue",1,rebanada,35,35,94,0.5,3,16.5,0.4,2.8,19.5,0.2,51.1,8.4,,
4,Pay de nuez,0.3,pieza,23,23,102,1.5,4.5,13.9,0.2,3.7,5.1,0.2,77.2,6.4,,
4,Pay de piña,0.3,pieza,28,28,108,1,4.9,15.1,0.1,0,6.6,0.2,120.3,5.3,,
4,Pay de queso,1,rebanada,35,35,112,1.9,7.9,8.9,0,5.3,17.9,0.2,72.6,7.6,,
4,Pay helado de limón,1,rebanada,40,40,109,0.9,6.1,13,0.6,0,12.1,0.1,72.7,9.4,,
4,Puré de papa,0.5,taza,105,105,119,2,4.4,17.5,1.6,8.4,25.2,0.3,332.9,1.5,74,77.7
4,Roles de canela,0.5,pieza,30,30,100,2,2.2,18,0.2,4.8,12.6,0.6,64.5,8.1,,
4,Rollo de fresa,1,pieza,30,30,100,1.4,2.1,18.9,0.1,4.8,7,0.4,87,11.7,,
4,Strudel de manzana,1,rebanada,40,40,110,1.3,4.5,16.5,0.9,2.3,6.2,0.2,107.6,10.4,,
4,Tortilla de harina,1,pieza,28,28,80,1.9,1.9,13.4,0.1,0,19.9,0.3,214.8,0.1,30,8.4
4,Tortilla de harina integral,1,pieza,28,28,82,2.5,2.9,11.4,1.2,0,0,0,166.9,0.1,,
4,Trenza glaseada,0.5,pieza,21,21,85,0.7,3.8,12.2,0.3,1.5,5.5,0.3,70.5,7.2,,
4,Wafle,1,pieza,35,35,100,2.3,3.4,15.1,0.8,20,107.8,2,223.3,1.8,76,26.6
4,Wafle con mantequilla,1,pieza,35,35,97,2.3,3.8,13.9,0.6,17.9,17.9,1.6,184.1,1,76,26.6
4,Wafle estilo casero,1,pieza,31,31,86,2,3.3,12.4,0.4,15.9,15.9,1.4,181.7,0.8,769,23.6
4,Wafle integral,1,pieza,35,35,84,2.3,2.9,13.2,1.4,10.8,17.9,1.6,198.5,1.3,,
4,Wafle miniatura,2,pieza,40,40,112,3,3.9,16.3,9,25.8,25.8,2.3,258.1,0.6,,
